URL,Brand,Model,Hits,Became Fan,Launch Expected Year,Height (mm),Width (mm),Thickness (mm),Body_Weight (g),Display_Type,Pixels_X,Pixels_Y,Display Size (inches),Screen_to_Body_Ratio (%),RAM (GB),Main Camera_Single (MP),Selfie camera_Single (MP),Sound_3.5mm jack,Comms_Bluetooth,Comms_NFC,Battery_Capacity (mAh),Price in USD
https://www.gsmarena.com/samsung_b5722-3017.php,Samsung,Samsung B5722,2230234,20,2009.0,104.0,54.9,14.4,105.0,"TFT, 256K colors",240.0,320.0,2.8,42.5,0.029296875,3.15,,0.0,2.1,,1200.0,152.89999999999998
https://www.gsmarena.com/karbonn_a27_retina-5508.php,Karbonn,Karbonn A27 Retina,433402,7,2013.0,133.6,66.0,9.1,126.5,IPS LCD,540.0,960.0,4.3,57.8,0.5,8.0,2.0,1.0,,,1800.0,212.8
https://www.gsmarena.com/umidigi_one_max-9525.php,Umidigi,Umidigi One Max,222836,29,2018.0,156.8,75.6,8.4,205.0,IPS LCD,720.0,1520.0,6.3,83.6,4.0,,16.0,1.0,4.1,,4150.0,188.79999999999998
https://www.gsmarena.com/vivo_iqoo_10_pro-11701.php,vivo,vivo iQOO 10 Pro,590248,116,2022.0,164.9,75.5,9.5,215.4,"LTPO3 AMOLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 1000 nits (HBM), 1500 nits (peak)",1440.0,3200.0,6.78,89.1,8.0,,16.0,0.0,5.3,,4700.0,913.5
https://www.gsmarena.com/celkon_campus_whizz_q42-6798.php,Celkon,Celkon Campus Whizz Q42,135222,12,2014.0,122.0,63.0,9.5,122.0,TFT,480.0,800.0,4.0,59.3,0.5,5.0,1.3,1.0,2.0,,1400.0,106.4
https://www.gsmarena.com/motorola_moto_z_force-8093.php,Motorola,Motorola Moto Z Force,4218571,419,2016.0,155.9,75.8,7.0,163.0,AMOLED,1440.0,2560.0,5.5,70.3,4.0,21.0,5.0,0.0,4.1,,3500.0,299.70000000000005
https://www.gsmarena.com/oppo_a16s-11295.php,Oppo,Oppo A16s,379977,18,2021.0,163.8,75.6,8.4,190.0,"IPS LCD, 480 nits (typ)",720.0,1600.0,6.52,82.9,4.0,,8.0,1.0,5.0,,5000.0,129.79999999999998
https://www.gsmarena.com/qmobile_noir_a110-7411.php,QMobile,QMobile Noir A110,36784,0,2014.0,117.0,62.5,11.0,,TFT,320.0,480.0,3.5,49.9,0.5,2.0,,1.0,4.0,,1300.0,79.80000000000001
https://www.gsmarena.com/t_mobile_revvl_5g-10486.php,T-Mobile,T-Mobile REVVL 5G,269092,19,2020.0,165.4,76.2,9.4,215.0,IPS LCD,1080.0,2340.0,6.53,83.1,6.0,,16.0,1.0,5.0,,4500.0,387.59999999999997
https://www.gsmarena.com/celkon_a43-6550.php,Celkon,Celkon A43,127741,4,2014.0,124.0,63.0,8.5,,IPS LCD,480.0,800.0,4.0,58.3,1.0,5.0,1.3,1.0,2.0,,1400.0,106.4
https://www.gsmarena.com/gionee_g13_pro-11339.php,Gionee,Gionee G13 Pro,968271,73,2022.0,158.0,76.0,9.2,195.0,IPS LCD,720.0,1600.0,6.26,78.8,4.0,,5.0,1.0,,,3500.0,84.0
https://www.gsmarena.com/nokia_7500_prism-2017.php,Nokia,Nokia 7500 Prism,1842537,46,2007.0,109.0,44.0,14.0,83.0,"TFT, 16M colors",240.0,320.0,2.0,25.8,0.029296875,2.0,,0.0,2.0,,700.0,164.4
https://www.gsmarena.com/blackberry_classic-6458.php,BlackBerry,BlackBerry Classic,6067161,376,2014.0,131.0,72.4,10.2,177.0,"IPS LCD,",720.0,720.0,3.5,40.8,2.0,8.0,2.0,1.0,4.0,,2515.0,159.60000000000002
https://www.gsmarena.com/lg_k10-7849.php,LG,LG K10,7687330,136,2016.0,146.0,74.8,8.8,142.0,IPS LCD,720.0,1280.0,5.3,70.9,1.0,13.0,5.0,1.0,4.1,,2300.0,188.70000000000002
https://www.gsmarena.com/alcatel_pixi_4_(5)-8157.php,alcatel,alcatel Pixi 4 (5),2200042,26,2016.0,140.7,72.7,9.5,148.0,IPS LCD,480.0,854.0,5.0,67.3,1.0,8.0,5.0,1.0,4.0,,2000.0,66.60000000000001
https://www.gsmarena.com/blu_deco_pro-4165.php,BLU,BLU Deco Pro,111444,7,2011.0,108.5,64.0,12.5,75.0,"TFT, 256K colors",320.0,240.0,2.6,30.1,0.25,3.2,,1.0,2.1,,1200.0,83.39999999999999
https://www.gsmarena.com/xiaomi_mi_5s-7260.php,Xiaomi,Xiaomi Mi 5s,8482701,691,2016.0,145.6,70.3,8.3,145.0,IPS LCD,1080.0,1920.0,5.15,71.4,3.0,12.0,4.0,1.0,4.2,,3200.0,277.5
https://www.gsmarena.com/oppo_n1_mini-6425.php,Oppo,Oppo N1 mini,1320929,47,2014.0,148.4,72.2,9.2,150.0,IPS LCD,720.0,1280.0,5.0,64.3,2.0,13.0,,1.0,4.0,,2140.0,438.90000000000003
https://www.gsmarena.com/huawei_nova_5i-9727.php,Huawei,Huawei nova 5i,753443,53,2019.0,159.1,75.9,8.3,178.0,IPS LCD,1080.0,2310.0,6.4,84.0,6.0,,24.0,1.0,4.2,,4000.0,291.20000000000005
https://www.gsmarena.com/lg_c199-4833.php,LG,LG C199,428430,21,2012.0,109.4,59.8,12.5,92.0,"TFT, 256K colors",240.0,320.0,2.3,25.0,,2.0,,1.0,2.1,,1100.0,90.3
https://www.gsmarena.com/xiaomi_black_shark-9164.php,Xiaomi,Xiaomi Black Shark,3242558,429,2018.0,161.6,75.4,9.3,190.0,IPS LCD,1080.0,2160.0,5.99,76.0,6.0,,20.0,0.0,5.0,,4000.0,472.0
https://www.gsmarena.com/nokia_8110_4g-9089.php,Nokia,Nokia 8110 4G,2056773,260,2018.0,133.5,49.3,14.9,117.0,TFT,240.0,320.0,2.4,27.1,0.5,2.0,,1.0,4.1,,1500.0,165.2
https://www.gsmarena.com/cat_b40-10976.php,Cat,Cat B40,192143,10,2021.0,145.0,62.0,18.0,157.0,TFT LCD,240.0,320.0,2.4,19.8,,2.0,,1.0,5.0,,1800.0,129.79999999999998
https://www.gsmarena.com/sony_xperia_z1s-5950.php,Sony,Sony Xperia Z1s,2219559,229,2014.0,145.7,73.9,8.6,162.0,TFT,1080.0,1920.0,5.0,64.0,2.0,20.7,2.0,1.0,4.0,,3000.0,345.8
https://www.gsmarena.com/infinix_note_40_pro-12875.php,Infinix,Infinix Note 40 Pro,2850629,97,2024.0,164.3,74.5,8.1,190.0,"AMOLED, 1B colors, 120Hz, 1300 nits (peak)",1080.0,2436.0,6.78,89.8,8.0,,32.0,0.0,,,5000.0,291.6
https://www.gsmarena.com/honor_4x-6754.php,Honor,Honor 4X,7903034,246,2014.0,152.9,77.2,8.7,165.0,IPS LCD,720.0,1280.0,5.5,70.6,2.0,13.0,5.0,1.0,4.0,,3000.0,266.0
https://www.gsmarena.com/blu_flash-3552.php,BLU,BLU Flash,110580,7,2010.0,109.0,46.0,13.5,82.0,"TFT, 256K colors",240.0,320.0,2.0,24.7,0.068359375,,,1.0,2.0,,800.0,53.2
https://www.gsmarena.com/sharp_aquos_wish-11847.php,Sharp,Sharp Aquos wish,127373,11,2022.0,147.0,71.0,8.9,162.0,IPS LCD,720.0,1520.0,5.7,77.7,4.0,13.0,8.0,1.0,5.1,,3730.0,241.5
https://www.gsmarena.com/lenovo_a6010_plus-7711.php,Lenovo,Lenovo A6010 Plus,2051000,48,2015.0,141.0,70.0,8.2,128.0,IPS LCD,720.0,1280.0,5.0,69.8,2.0,13.0,5.0,1.0,4.0,,2300.0,177.60000000000002
https://www.gsmarena.com/amazon_fire_7-7609.php,Amazon,Amazon Fire 7,1018934,21,2015.0,191.0,115.0,10.6,313.0,IPS LCD,600.0,1024.0,7.0,62.8,1.0,2.0,,1.0,4.0,,2980.0,55.50000000000001
